Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
Tet1 	 0 	 0.2917402 	 0.8921166 	 0.05864037 	 0.2196868 	 0.4373089 	 0.06394694 	 -0.1491924 	 0.7597265 	 0.1399234 	 -93.87161 	 -8786.797 	Good
PHC1 	 0.4264706 	 0.696538 	 0.5991071 	 0.1774732 	 0.1022032 	 0.4102953 	 0.009465237 	 -0.2357708 	 0.2001515 	 0.0872186 	 -79.1943 	 -7739.505 	Poor
SNAI2 	 0.75 	 -0.4693512 	 0.2497768 	 0.05938646 	 0.1004027 	 0.7638851 	 0.1774732 	 -0.3119297 	 0.4959036 	 0.1318364 	 -81.40709 	 -7829.653 	Poor
FOXD1 	 0.6911765 	 -0.6693769 	 0.7514349 	 0.1774732 	 1 	 0.3226718 	 0.07992027 	 -0.9166132 	 0.2783266 	 0.1019599 	 -59.72881 	 -7939.852 	Poor
CD44 	 1 	 0.1004344 	 0.3386785 	 0.05816992 	 -0.5740249 	 0.8606333 	 0.1774732 	 -0.1348202 	 0.3170487 	 0.1012039 	 -73.54732 	 -9130.09 	Poor
GABRB3 	 0.05882353 	 0.1581716 	 0.4182055 	 0.1774732 	 0.9777682 	 0.8691104 	 0.118646 	 -0.1008872 	 0.6127201 	 0.01861337 	 -45.32979 	 -8256.873 	Poor
SOX2 	 0.04411765 	 1 	 0.7189899 	 0.1774732 	 0.6625003 	 0.5238531 	 0.1253207 	 -0.6661917 	 0.5503849 	 0.09975297 	 -85.89815 	 -8537.991 	Good
ZNF281 	 0.9117647 	 0.7021198 	 0.5387871 	 0.1774732 	 -0.100704 	 0.1539774 	 0.03568074 	 -0.5312853 	 0.5763316 	 0.1339372 	 -116.7412 	 -8975.765 	Good
SP1 	 0.8382353 	 0.5334541 	 0.4354601 	 0.1576516 	 -0.4679065 	 0.4196902 	 0.08789563 	 0.1000374 	 0.3109952 	 0.04988888 	 -114.7341 	 -9098.383 	Good
LEFTY1 	 0 	 0.2486243 	 0.2668863 	 0.08038196 	 0.5914824 	 0.6714099 	 0.08941196 	 -0.2631501 	 0.7913219 	 0.1200405 	 -72.08089 	 -8404.379 	Poor
SET 	 0.9264706 	 -0.1008085 	 0.1445158 	 0.05367879 	 -0.4196141 	 0.5445375 	 0.1017532 	 0.6014987 	 0.503107 	 0.176923 	 -114.1202 	 -8810.547 	Poor
CBX7 	 0.05882353 	 -0.2408488 	 0.4001592 	 0.05450498 	 -0.1335765 	 0.5647514 	 0.05708882 	 0.335315 	 0.4105408 	 0.1774732 	 -130.9008 	 -9860.488 	Good
UTF1 	 0.02941176 	 0.1538424 	 0.3910448 	 0.1774732 	 0.7578069 	 0.3828317 	 0.09185988 	 -0.5710152 	 0.9473053 	 0.1241262 	 -31.578 	 -8393.833 	Poor
CDH2_NCAD 	 0.8088235 	 1 	 0.3014944 	 0.08643642 	 -0.1194263 	 0.7926226 	 0.05269166 	 -0.9161484 	 0.2944332 	 0.1330226 	 -83.15982 	 -8248.564 	Poor
HNF4A 	 0 	 -0.3320973 	 0.694672 	 0.1774732 	 0.2222119 	 0.2129852 	 0.06245653 	 0.1303592 	 0.511724 	 0.03275808 	 -89.11454 	 -9069.779 	Poor
TGFBR2 	 0.9558824 	 -0.1921013 	 0.2248591 	 0.04649397 	 0.3805878 	 0.4239311 	 0.05918435 	 -0.8316187 	 0.5004245 	 0.1774732 	 -83.93979 	 -7902.199 	Good
