Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
TET1 	 U 	 Inf 	 0.191453 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TET1 	 LR 	 0.2564613 	 0.191453 	 1.339552 	 1.564012 	 -93.32854 	 -92.8068 	 0.6155072 	 -4281.557 	 -4281.545 	 13.83883 	 -106.7914 
TET1 	 N1 	 0.2679787 	 0.191453 	 1.39971 	 1.57556 	 -91.29291 	 -90.202 	 0.6163511 	 -4192.186 	 -4192.162 	 15.10102 	 -101.9529 
TET1 	 N2 	 0.3405424 	 0.191453 	 1.778726 	 1.615618 	 -82.69629 	 -78.27524 	 0.6810847 	 -4846.569 	 -4846.485 	 7.807145 	 -109.7755 
TET1 	 N3 	 0.8265655 	 0.191453 	 4.317329 	 1.666583 	 -57.86655 	 -46.61655 	 1.405161 	 -4598.808 	 -4598.626 	 9.939922 	 -90.66709 
PHC1 	 U 	 Inf 	 0.1880342 	 Inf 	 1.543075 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.2755779 	 0.1880342 	 1.465573 	 1.564012 	 -91.45933 	 -90.93759 	 0.661387 	 -3563.96 	 -3563.948 	 28.34241 	 -88.15254 
PHC1 	 N1 	 0.2736936 	 0.1880342 	 1.455552 	 1.57556 	 -90.74427 	 -89.65336 	 0.6294952 	 -4325.935 	 -4325.91 	 13.2123 	 -105.4269 
PHC1 	 N2 	 0.3147153 	 0.1880342 	 1.673713 	 1.615618 	 -84.74694 	 -80.32589 	 0.6294306 	 -4368.903 	 -4368.819 	 12.58151 	 -97.36864 
PHC1 	 N3 	 0.2012884 	 0.1880342 	 1.070488 	 1.666583 	 -94.59261 	 -83.34261 	 0.3421903 	 -5932.185 	 -5932.003 	 2.623513 	 -125.3003 
