Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
Tet1 	 U 	 Inf 	 0.1539352 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
Tet1 	 LR 	 0.2130569 	 0.1539352 	 1.384069 	 1.395376 	 -182.7844 	 -182.5177 	 0.9800617 	 -5579.649 	 -5579.637 	 3.783629 	 -263.4808 
Tet1 	 N1 	 0.2237083 	 0.1539352 	 1.453263 	 1.399485 	 -179.4977 	 -178.9523 	 1.006687 	 -5993.351 	 -5993.327 	 2.497767 	 -281.1357 
Tet1 	 N2 	 0.2602563 	 0.1539352 	 1.690688 	 1.412735 	 -169.5458 	 -167.497 	 1.093077 	 -6408.496 	 -6408.411 	 1.639962 	 -293.8271 
Tet1 	 N3 	 0.2861239 	 0.1539352 	 1.858729 	 1.427582 	 -162.5546 	 -157.8178 	 1.115883 	 -8084.651 	 -8084.469 	 0.3055012 	 -365.8019 
PHC1 	 U 	 Inf 	 0.2009259 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
PHC1 	 LR 	 0.1893499 	 0.2009259 	 0.9423864 	 1.395376 	 -188.4466 	 -188.1799 	 0.8710094 	 -4294.847 	 -4294.835 	 13.65632 	 -201.8718 
PHC1 	 N1 	 0.2644801 	 0.2009259 	 1.316306 	 1.399485 	 -171.4614 	 -170.916 	 1.19016 	 -4873.35 	 -4873.326 	 7.646737 	 -227.4294 
PHC1 	 N2 	 0.2353529 	 0.2009259 	 1.171342 	 1.412735 	 -174.3737 	 -172.3249 	 0.9884823 	 -7734.339 	 -7734.255 	 0.4361165 	 -357.4041 
PHC1 	 N3 	 0.2484381 	 0.2009259 	 1.236466 	 1.427582 	 -169.3337 	 -164.5969 	 0.9689086 	 -8376.101 	 -8375.919 	 0.2283306 	 -379.7775 
SNAI2 	 U 	 Inf 	 0.1868056 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SNAI2 	 LR 	 0.277348 	 0.1868056 	 1.484688 	 1.395376 	 -170.1261 	 -169.8594 	 1.275801 	 -4601.774 	 -4601.762 	 10.0501 	 -216.5896 
SNAI2 	 N1 	 0.3174625 	 0.1868056 	 1.699428 	 1.399485 	 -162.6969 	 -162.1515 	 1.428581 	 -8125.361 	 -8125.337 	 0.2968636 	 -383.3699 
