Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
Tet1 	 0.05932203 	 0.1782248 	 0.9083513 	 0.04093462 	 0.4223535 	 0.2464941 	 0.1237632 	 -0.3033307 	 0.3832022 	 0.09442956 	 -157.8178 	 -8084.469 	Poor
PHC1 	 0.4152542 	 0.3514688 	 0.4363272 	 0.07381011 	 0.6775971 	 0.6217943 	 0.1740189 	 -0.4463971 	 0.3053251 	 0.1740189 	 -164.5969 	 -8375.919 	Good
SNAI2 	 0.7288136 	 0.8194895 	 0.5285601 	 0.1740189 	 -0.4875773 	 0.6000171 	 0.1087296 	 -1 	 0.3289613 	 0.1472785 	 -145.972 	 -8624.837 	Poor
FOXD1 	 0.6355932 	 0.8066659 	 0.439368 	 0.09079531 	 -1 	 0.4808932 	 0.1495579 	 -0.3192144 	 0.8723675 	 0.08807545 	 -140.5462 	 -8724.752 	Poor
CD44 	 1 	 -0.2562854 	 0.8756535 	 0.1339173 	 -0.2311214 	 0.8909283 	 0.1291488 	 -0.100498 	 0.2100816 	 0.06510199 	 -168.6218 	 -8066.401 	Poor
GABRB3 	 0.04237288 	 0.2372582 	 0.7465988 	 0.04126653 	 0.5400189 	 0.8890211 	 0.05369514 	 0.1167385 	 0.3418735 	 0.09267514 	 -132.6029 	 -9117.421 	Poor
SOX2 	 0.02542373 	 0.2377746 	 0.3819296 	 0.1740189 	 0.1009311 	 0.8874761 	 0.01112276 	 0.5968059 	 0.7333444 	 0.104282 	 -168.7676 	 -9042.809 	Poor
ZNF281 	 0.8050847 	 1 	 0.5672016 	 0.1740189 	 -0.6326369 	 0.6323935 	 0.1229101 	 -0.1835939 	 0.1274042 	 0.09927183 	 -166.3524 	 -8375.766 	Poor
SP1 	 0.7966102 	 -0.10534 	 0.165115 	 0.1442758 	 1 	 0.4787962 	 0.1155715 	 -0.6890442 	 0.4924342 	 0.08956897 	 -182.5221 	 -9257.594 	Good
LEFTY1 	 0 	 -0.1003401 	 0.9229451 	 0.07990708 	 0.3223512 	 0.3327967 	 0.1285274 	 0.3433285 	 0.6648793 	 0.0561187 	 -178.1281 	 -8943.578 	Good
SET 	 0.9237288 	 -1 	 0.3799813 	 0.1740189 	 0.1501845 	 0.7001275 	 0.09929022 	 0.9269937 	 0.3568858 	 0.121541 	 -209.1139 	 -9607.283 	Poor
CBX7 	 0.03389831 	 0.9390879 	 0.5279439 	 0.1065237 	 -0.8536987 	 0.5423483 	 0.08983357 	 -0.1003516 	 0.4214701 	 0.04533533 	 -258.329 	 -10810.96 	Good
UTF1 	 0.01694915 	 -0.220612 	 0.9874769 	 0.1740189 	 -0.3402429 	 0.9336965 	 0.09993899 	 0.9179317 	 0.4492743 	 0.09462356 	 -101.8097 	 -8358.722 	Poor
CDH2_NCAD 	 0.7627119 	 -0.1580817 	 0.1018468 	 0.07307511 	 0.2976325 	 0.3930605 	 0.05665101 	 -0.1293161 	 0.7896341 	 0.06165474 	 -153.6334 	 -8549.968 	Poor
HNF4A 	 0 	 -0.5883866 	 0.3842028 	 0.07746652 	 -0.3827906 	 0.6592612 	 0.1740189 	 1 	 0.4105312 	 0.1054456 	 -205.6495 	 -9157.493 	Poor
TGFBR2 	 0.9322034 	 -0.6933397 	 0.5203574 	 0.1740189 	 -0.52196 	 0.2880614 	 0.1740189 	 0.5922413 	 0.446264 	 0.07364138 	 -167.4347 	 -7894.118 	Good
DUSP10 	 0.2033898 	 -0.3546903 	 0.3775282 	 0.1740189 	 0.1008442 	 0.8765219 	 0.1272457 	 0.1318429 	 0.4379902 	 0.05555902 	 -203.9958 	 -9597.113 	Good
MYC 	 0.4576271 	 -0.832776 	 0.4450705 	 0.1294291 	 0.236956 	 0.07259517 	 0.05085254 	 0.1567711 	 0.2268395 	 0.0518913 	 -94.03301 	 -8797.161 	Poor
ZFP42_REX1 	 0.008474576 	 0.899207 	 0.6400349 	 0.1099133 	 0.6688676 	 0.487775 	 0.05861186 	 -0.5849674 	 0.4964718 	 0.04642729 	 -184.5687 	 -9528.345 	Poor
TRIM28 	 0.8135593 	 -0.4187656 	 0.5476593 	 0.08069558 	 -0.2084013 	 0.2607841 	 0.1740189 	 0.8131964 	 0.4701432 	 0.1503045 	 -187.2772 	 -9449.754 	Poor
CD48 	 0 	 0.4215758 	 0.4861266 	 0.157605 	 0.1009247 	 0.6478997 	 0.01146623 	 -0.514002 	 0.6391546 	 0.1740189 	 -224.4506 	 -8879.899 	Poor
CDKN1A 	 1 	 -0.1119332 	 0.9484795 	 0.03352101 	 -0.1499434 	 0.2137369 	 0.09092513 	 -0.2872541 	 0.6286578 	 0.08320216 	 -195.12 	 -9008.146 	Good
JMJD3 	 0.2881356 	 0.4708875 	 0.3303614 	 0.09719164 	 -0.394887 	 0.2851502 	 0.1727494 	 -0.100202 	 0.9874769 	 0.1566484 	 -162.3771 	 -6958.999 	Good
RNF2 	 0.6101695 	 0.2554691 	 0.4313759 	 0.07137555 	 -0.5429524 	 0.5963735 	 0.1740189 	 0.6819776 	 0.6676868 	 0.1569968 	 -166.4046 	 -8810.204 	Good
LATS2 	 0.6779661 	 0.4948002 	 0.6162741 	 0.1740189 	 -0.2050684 	 0.155513 	 0.135083 	 -0.1388224 	 0.4865273 	 0.05514403 	 -134.9579 	 -8283.718 	Poor
T 	 0 	 0.2229628 	 0.9874769 	 0.1405795 	 0.1704117 	 0.9874769 	 0.1740189 	 -0.1476103 	 0.9194458 	 0.04872388 	 -313.2491 	 -10926.51 	Good
FGF2 	 0.8220339 	 -0.438539 	 0.577089 	 0.06563511 	 -0.2861256 	 0.1637054 	 0.1148386 	 0.8451055 	 0.6248384 	 0.1740189 	 -131.8301 	 -8632.269 	Poor
LCK 	 0 	 -0.2995245 	 0.7522236 	 0.1178989 	 0.3714352 	 0.5298333 	 0.1541559 	 0.6946836 	 0.9173763 	 0.1003144 	 -181.2654 	 -9000.474 	Poor
KLF5 	 0.3644068 	 -1 	 0.8512831 	 0.10965 	 0.6876516 	 0.804479 	 0.06999005 	 0.4506857 	 0.3180542 	 0.08120416 	 -128.6919 	 -8474.683 	Poor
KLF4 	 0.7372881 	 -0.2518377 	 0.09277846 	 0.1087394 	 0.2149758 	 0.4352327 	 0.1017771 	 -0.5375816 	 0.9874769 	 0.1258648 	 -139.8834 	 -8367.815 	Poor
NACC1 	 0.6355932 	 1 	 0.3820939 	 0.118489 	 -0.7929928 	 0.3885487 	 0.1740189 	 0.1404059 	 0.7849878 	 0.09450351 	 -168.1576 	 -8409.089 	Good
DNMT3L 	 0 	 -0.4487018 	 0.9058913 	 0.05732951 	 0.8242852 	 0.5830375 	 0.1029776 	 -0.1141556 	 0.5007916 	 0.01790478 	 -151.829 	 -9592.975 	Poor
EZH2 	 0.1186441 	 0.4043488 	 0.4548634 	 0.0885614 	 -0.2098503 	 0.742263 	 0.06354782 	 0.8568826 	 0.9874769 	 0.1740189 	 -134.0675 	 -8403.488 	Poor
EED 	 0.1355932 	 -0.1002414 	 0.7794523 	 0.05837285 	 -0.1071633 	 0.8509313 	 0.1679636 	 0.2561037 	 0.5021908 	 0.1740189 	 -163.7468 	 -7456.546 	Poor
SMARCC2 	 0.9830508 	 -0.3508368 	 0.5196645 	 0.0788511 	 0.5470709 	 0.4909447 	 0.1064455 	 -0.1790243 	 0.3351148 	 0.1636853 	 -253.7899 	 -10480.2 	Good
NODAL 	 0.01694915 	 0.7713767 	 0.6820223 	 0.1100843 	 -0.1007011 	 0.7623733 	 0.1537292 	 -0.2604965 	 0.9824481 	 0.07705735 	 -180.0359 	 -8525.081 	Poor
CDH1 	 0.3559322 	 0.429293 	 0.5583567 	 0.1190316 	 0.2873058 	 0.09785367 	 0.08573593 	 -0.1002359 	 0.7149255 	 0.1360774 	 -114.3958 	 -9479.319 	Poor
LEFTY2 	 0.01694915 	 -0.45868 	 0.8566852 	 0.08092163 	 0.2070322 	 0.440936 	 0.05311837 	 0.6322181 	 0.4146547 	 0.1740189 	 -104.4352 	 -8687.951 	Poor
